LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,2090,0-4,0,5,1938.964,1846.492,3785.456
840,United States of America,2090,0-4,0,5,11343.97,10844.381,22188.351
826,United Kingdom,2091,0-4,0,5,1935.772,1843.595,3779.367
840,United States of America,2091,0-4,0,5,11360.982,10860.118,22221.1
826,United Kingdom,2092,0-4,0,5,1933.852,1841.941,3775.793
840,United States of America,2092,0-4,0,5,11385.355,10883.844,22269.199
826,United Kingdom,2093,0-4,0,5,1932.455,1840.724,3773.179
840,United States of America,2093,0-4,0,5,11411.769,10909.848,22321.617
826,United Kingdom,2094,0-4,0,5,1930.733,1839.027,3769.76
840,United States of America,2094,0-4,0,5,11433.985,10931.454,22365.439
826,United Kingdom,2095,0-4,0,5,1927.699,1835.789,3763.488
840,United States of America,2095,0-4,0,5,11445.516,10941.711,22387.227
826,United Kingdom,2096,0-4,0,5,1925.802,1834.119,3759.921
840,United States of America,2096,0-4,0,5,11458.705,10953.685,22412.39
826,United Kingdom,2097,0-4,0,5,1925.33,1833.854,3759.184
840,United States of America,2097,0-4,0,5,11476.829,10971.234,22448.063
826,United Kingdom,2098,0-4,0,5,1925.548,1834.174,3759.722
840,United States of America,2098,0-4,0,5,11495.439,10989.646,22485.085
826,United Kingdom,2099,0-4,0,5,1925.67,1834.209,3759.879
840,United States of America,2099,0-4,0,5,11509.666,11003.726,22513.392
826,United Kingdom,2100,0-4,0,5,1924.911,1833.119,3758.03
840,United States of America,2100,0-4,0,5,11513.439,11007.034,22520.473
826,United Kingdom,2100,9-May,5,5,1938.367,1846.57,3784.937
840,United States of America,2100,9-May,5,5,11513.372,11010.365,22523.737
826,United Kingdom,2099,9-May,5,5,1941.322,1849.731,3791.053
840,United States of America,2099,9-May,5,5,11499.37,10997.276,22496.646
826,United Kingdom,2098,9-May,5,5,1944.275,1852.676,3796.951
840,United States of America,2098,9-May,5,5,11484.156,10983.157,22467.313
826,United Kingdom,2097,9-May,5,5,1946.934,1855.158,3802.092
840,United States of America,2097,9-May,5,5,11466.343,10966.478,22432.821
826,United Kingdom,2096,9-May,5,5,1948.91,1856.858,3805.768
840,United States of America,2096,9-May,5,5,11443.497,10944.511,22388.008
826,United Kingdom,2095,9-May,5,5,1949.592,1857.254,3806.846
840,United States of America,2095,9-May,5,5,11411.639,10912.74,22324.379
826,United Kingdom,2094,9-May,5,5,1952.981,1860.809,3813.79
840,United States of America,2094,9-May,5,5,11394.284,10897.011,22291.295
826,United Kingdom,2093,9-May,5,5,1956.137,1863.922,3820.059
840,United States of America,2093,9-May,5,5,11376.357,10880.592,22256.949
826,United Kingdom,2092,9-May,5,5,1958.711,1866.324,3825.035
840,United States of America,2092,9-May,5,5,11356.214,10861.677,22217.891
826,United Kingdom,2091,9-May,5,5,1960.296,1867.669,3827.965
840,United States of America,2091,9-May,5,5,11331.892,10838.08,22169.972
826,United Kingdom,2090,9-May,5,5,1960.29,1867.416,3827.706
840,United States of America,2090,9-May,5,5,11300.31,10806.272,22106.582
826,United Kingdom,2089,9-May,5,5,1962.395,1869.81,3832.205
840,United States of America,2089,9-May,5,5,11282.026,10789.564,22071.59
826,United Kingdom,2088,9-May,5,5,1964.109,1871.596,3835.705
840,United States of America,2088,9-May,5,5,11263.861,10772.771,22036.632
826,United Kingdom,2087,9-May,5,5,1964.987,1872.381,3837.368
