column1,column2,column3,column4,column5,column6,column7,column8,column9
LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,1990,0-4,0,5,1954.473,1869.402,3823.875
840,United States of America,1990,0-4,0,5,9842.675,9398.321,19240.996
826,United Kingdom,1991,0-4,0,5,1953.536,1867.79,3821.326
840,United States of America,1991,0-4,0,5,9981.562,9533.59,19515.152
826,United Kingdom,1992,0-4,0,5,1956.546,1869.599,3826.145
840,United States of America,1992,0-4,0,5,10083.929,9633.452,19717.381
826,United Kingdom,1993,0-4,0,5,1961.552,1872.944,3834.496
840,United States of America,1993,0-4,0,5,10151.856,9701.9,19853.756
826,United Kingdom,1994,0-4,0,5,1961.787,1871.477,3833.264
840,United States of America,1994,0-4,0,5,10188.621,9739.507,19928.128
826,United Kingdom,1995,0-4,0,5,1952.245,1860.457,3812.702
840,United States of America,1995,0-4,0,5,10207.957,9758,19965.957
826,United Kingdom,1996,0-4,0,5,1930.209,1837.659,3767.868
840,United States of America,1996,0-4,0,5,10250.497,9808.352,20058.849
826,United Kingdom,1997,0-4,0,5,1903.829,1812.17,3715.999
840,United States of America,1997,0-4,0,5,10203.188,9766.085,19969.273
826,United Kingdom,1998,0-4,0,5,1874.084,1784.247,3658.331
840,United States of America,1998,0-4,0,5,10111.6,9676.067,19787.667
826,United Kingdom,1999,0-4,0,5,1844.906,1756.634,3601.54
840,United States of America,1999,0-4,0,5,10034.594,9598.052,19632.646
826,United Kingdom,1999,9-May,5,5,1965.955,1872.245,3838.2
840,United States of America,1999,9-May,5,5,10612.788,10122.82,20735.608
826,United Kingdom,1998,9-May,5,5,1974.775,1882.96,3857.735
840,United States of America,1998,9-May,5,5,10498.2,10012.888,20511.088
826,United Kingdom,1997,9-May,5,5,1976.604,1886.928,3863.532
840,United States of America,1997,9-May,5,5,10345.458,9864.925,20210.383
826,United Kingdom,1996,9-May,5,5,1971.027,1883.336,3854.363
840,United States of America,1996,9-May,5,5,10175.168,9700.248,19875.416
826,United Kingdom,1995,9-May,5,5,1959.647,1873.334,3832.981
840,United States of America,1995,9-May,5,5,10002.23,9535.909,19538.139
826,United Kingdom,1994,9-May,5,5,1945.283,1860.405,3805.688
840,United States of America,1994,9-May,5,5,9877.076,9426.238,19303.314
826,United Kingdom,1993,9-May,5,5,1930.036,1846.033,3776.069
840,United States of America,1993,9-May,5,5,9730.207,9295.561,19025.768
826,United Kingdom,1992,9-May,5,5,1909.536,1826.137,3735.673
840,United States of America,1992,9-May,5,5,9567.361,9145.492,18712.853
826,United Kingdom,1991,9-May,5,5,1881.756,1798.75,3680.506
