LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
NA,NA,NA,NA,NA,NA,NA,NA,NA 
840,United States of America,2038,0-4,0,5,10673.297,10206.66,20879.957
826,United Kingdom,2039,0-4,0,5,1927.447,1835.662,3763.109
840,United States of America,2039,0-4,0,5,10677.692,10210.659,20888.351
826,United Kingdom,2040,0-4,0,5,1934.133,1841.727,3775.86
840,United States of America,2040,0-4,0,5,10672.622,10204.015,20876.637
826,United Kingdom,2041,0-4,0,5,1943.967,1851.137,3795.104
840,United States of America,2041,0-4,0,5,10663.25,10195.112,20858.362
826,United Kingdom,2042,0-4,0,5,1953.251,1860.038,3813.289
840,United States of America,2042,0-4,0,5,10655.545,10188.211,20843.756
826,United Kingdom,2043,0-4,0,5,1961.815,1868.241,3830.056
840,United States of America,2043,0-4,0,5,10648.345,10181.716,20830.061
826,United Kingdom,2044,0-4,0,5,1969.283,1875.327,3844.61
840,United States of America,2044,0-4,0,5,10641.426,10174.777,20816.203
826,United Kingdom,2045,0-4,0,5,1975.067,1880.606,3855.673
840,United States of America,2045,0-4,0,5,10632.401,10164.26,20796.661
826,United Kingdom,2046,0-4,0,5,1980.69,1886.088,3866.778
840,United States of America,2046,0-4,0,5,10617.711,10149.965,20767.676
826,United Kingdom,2047,0-4,0,5,1984.48,1889.869,3874.349
840,United States of America,2047,0-4,0,5,10615.176,10148.01,20763.186
826,United Kingdom,2048,0-4,0,5,1986.504,1891.882,3878.386
840,United States of America,2048,0-4,0,5,10621.293,10154.384,20775.677
826,United Kingdom,2049,0-4,0,5,1986.804,1892.079,3878.883
840,United States of America,2049,0-4,0,5,10631.125,10163.623,20794.748
826,United Kingdom,2049,9-May,5,5,1977.963,1884.259,3862.222
840,United States of America,2049,9-May,5,5,10703.647,10237.728,20941.375
826,United Kingdom,2048,9-May,5,5,1969.902,1876.736,3846.638
840,United States of America,2048,9-May,5,5,10714.61,10249.562,20964.172
826,United Kingdom,2047,9-May,5,5,1961.504,1868.732,3830.236
840,United States of America,2047,9-May,5,5,10726.407,10261.498,20987.905
826,United Kingdom,2046,9-May,5,5,1953.003,1860.499,3813.502
840,United States of America,2046,9-May,5,5,10735.124,10269.477,21004.601
826,United Kingdom,2045,9-May,5,5,1944.215,1851.928,3796.143
840,United States of America,2045,9-May,5,5,10735.813,10268.243,21004.056
826,United Kingdom,2044,9-May,5,5,1936.834,1845.137,3781.971
840,United States of America,2044,9-May,5,5,10739.248,10273.454,21012.702
826,United Kingdom,2043,9-May,5,5,1930.235,1838.96,3769.195
840,United States of America,2043,9-May,5,5,10743.094,10278.422,21021.516
826,United Kingdom,2042,9-May,5,5,1925.852,1834.824,3760.676
840,United States of America,2042,9-May,5,5,10747.329,10283.154,21030.483
826,United Kingdom,2041,9-May,5,5,1924.255,1833.27,3757.525
840,United States of America,2041,9-May,5,5,10749.898,10285.451,21035.349
826,United Kingdom,2040,9-May,5,5,1924.772,1833.603,3758.375
840,United States of America,2040,9-May,5,5,10745.385,10279.475,21024.86
826,United Kingdom,2039,9-May,5,5,1928.491,1837.476,3765.967
840,United States of America,2039,9-May,5,5,10746.487,10282.78,21029.267
826,United Kingdom,2038,9-May,5,5,1934.437,1843.368,3777.805
840,United States of America,2038,9-May,5,5,10749.27,10287.185,21036.455
826,United Kingdom,2037,9-May,5,5,1942.035,1850.653,3792.688
840,United States of America,2037,9-May,5,5,10745.794,10284.996,21030.79
826,United Kingdom,2036,9-May,5,5,1950.511,1858.54,3809.051
840,United States of America,2036,9-May,5,5,10729.279,10269.382,20998.661
826,United Kingdom,2035,9-May,5,5,1958.736,1865.953,3824.689
840,United States of America,2035,9-May,5,5,10694.274,10234.382,20928.656
826,United Kingdom,2034,9-May,5,5,1970.211,1876.937,3847.148
840,United States of America,2034,9-May,5,5,10661.927,10205.819,20867.746
826,United Kingdom,2033,9-May,5,5,1983.748,1889.674,3873.422
840,United States of America,2033,9-May,5,5,10629.487,10176.727,20806.214
826,United Kingdom,2032,9-May,5,5,1995.527,1900.699,3896.226
840,United States of America,2032,9-May,5,5,10586.717,10137,20723.717
826,United Kingdom,2031,9-May,5,5,2002.936,1907.668,3910.604
840,United States of America,2031,9-May,5,5,10526.917,10079.666,20606.583
826,United Kingdom,2030,9-May,5,5,2005.274,1909.935,3915.209
840,United States of America,2030,9-May,5,5,10447.753,10001.658,20449.411
826,United Kingdom,2029,9-May,5,5,2002.752,1908.094,3910.846
840,United States of America,2029,9-May,5,5,10358.182,9918.545,20276.727
826,United Kingdom,2028,9-May,5,5,1996.609,1902.921,3899.53
840,United States of America,2028,9-May,5,5,10266.172,9832.537,20098.709
826,United Kingdom,2027,9-May,5,5,1994.857,1901.82,3896.677
840,United States of America,2027,9-May,5,5,10188.474,9758.865,19947.339
826,United Kingdom,2026,9-May,5,5,2002.191,1909.074,3911.265
840,United States of America,2026,9-May,5,5,10134.615,9706.038,19840.653
826,United Kingdom,2025,9-May,5,5,2018.049,1924.08,3942.129
840,United States of America,2025,9-May,5,5,10103.487,9672.526,19776.013
826,United Kingdom,2024,9-May,5,5,2042.262,1947.383,3989.645
840,United States of America,2024,9-May,5,5,10087.294,9655.383,19742.677
826,United Kingdom,2023,9-May,5,5,2071.678,1975.412,4047.09
840,United States of America,2023,9-May,5,5,10084.593,9650.514,19735.107
